host_id,host_listings_total_count,host_listings_entire_homes_count,host_listings_private_rooms_count,host_listings_shared_rooms_count
46630199,81,81,0,0
3004684,1,1,0,0
190082,1,1,0,0
47417669,1,1,0,0
5882214,1,1,0,0
7259037,1,1,0,0
9068009,1,1,0,0
19684173,2,2,0,0
13716353,1,1,0,0
49170773,1,1,0,0
2851775,1,1,0,0
5096803,1,1,0,0
33640455,1,1,0,0
36275317,1,1,0,0
3197708,1,1,0,0
16644446,24,24,0,0
46722229,1,1,0,0
25197983,1,1,0,0
51854674,1,1,0,0
53056625,1,1,0,0
44636030,1,0,1,0
53580080,13,12,0,0
53719149,1,1,0,0
53759813,1,1,0,0
53857552,1,0,1,0
18393059,3,3,0,0
54362762,1,1,0,0
46282344,1,1,0,0
5326343,1,1,0,0
16794398,1,1,0,0
10663585,2,2,0,0
4746,1,0,1,0
55252534,1,1,0,0
344019,1,1,0,0
24669071,1,1,0,0
53610057,1,1,0,0
57270424,1,1,0,0
34403,2,2,0,0
57817556,1,1,0,0
2491932,1,1,0,0
58113599,1,1,0,0
58166745,4,4,0,0
10532812,1,1,0,0
50071999,1,1,0,0
24327324,1,1,0,0
7408338,1,1,0,0
17051760,1,1,0,0
20527599,3,1,2,0
60902756,1,1,0,0
30602831,1,1,0,0
60195881,1,1,0,0
34195632,1,1,0,0
61680461,1,1,0,0
1998736,2,1,1,0
32782305,2,0,2,0
61861443,1,1,0,0
15365907,4,2,2,0
52087226,1,1,0,0
62638082,1,1,0,0
63078920,2,2,0,0
63247182,1,1,0,0
6165522,5,2,3,0
63949846,1,0,1,0
9272585,1,1,0,0
64358426,1,0,1,0
260501993,1,1,0,0
65403910,2,2,0,0
65969182,1,1,0,0
22059325,1,1,0,0
44583929,1,1,0,0
2216329,1,1,0,0
31551607,1,1,0,0
21446930,1,1,0,0
68399594,1,1,0,0
11771833,1,1,0,0
33579876,2,1,1,0
415218,1,0,1,0
60398867,1,1,0,0
69403545,1,1,0,0
44859433,1,1,0,0
65964736,1,1,0,0
10666566,1,1,0,0
5094757,1,1,0,0
9348212,1,1,0,0
58228107,1,0,1,0
67905334,1,0,1,0
23246212,1,0,1,0
16820693,1,1,0,0
3644538,1,1,0,0
55009,5,0,5,0
74026365,1,1,0,0
74478298,1,0,1,0
74877774,1,1,0,0
75651715,2,2,0,0
1261711,2,2,0,0
77706798,2,1,1,0
2492536,5,5,0,0
59387158,1,1,0,0
4343477,1,1,0,0
39556632,1,1,0,0
1346845,1,1,0,0
33151642,3,3,0,0
58214542,1,1,0,0
74518047,2,0,2,0
71002747,1,0,1,0
10974337,1,1,0,0
5816343,1,1,0,0
11585007,1,1,0,0
16206623,2,2,0,0
64827706,2,2,0,0
87724136,1,1,0,0
4336089,1,1,0,0
6789081,1,1,0,0
88939509,1,1,0,0
2733434,1,1,0,0
89016153,1,1,0,0
89373138,2,2,0,0
6878743,1,1,0,0
90117890,3,3,0,0
2127232,1,1,0,0
54919923,1,1,0,0
14229159,1,1,0,0
93122946,2,2,0,0
22276780,1,1,0,0
21290155,1,1,0,0
48468538,1,1,0,0
86401186,3,1,2,0
27737761,1,1,0,0
14062357,1,1,0,0
86600663,1,1,0,0
41809632,1,1,0,0
25338996,1,1,0,0
19812987,1,1,0,0
44949993,11,2,9,0
96476055,1,1,0,0
27373538,1,1,0,0
43014415,1,1,0,0
96846593,1,1,0,0
25859907,1,1,0,0
87565931,1,1,0,0
30928000,1,0,1,0
47031800,1,1,0,0
98207538,2,2,0,0
68126271,1,1,0,0
3102692,1,1,0,0
40685012,1,1,0,0
62288976,1,1,0,0
100104886,1,1,0,0
30386874,1,1,0,0
7196325,2,0,2,0
101148074,1,1,0,0
3964420,1,1,0,0
14171572,1,1,0,0
39930655,199,195,3,0
6033272,1,1,0,0
68882789,2,0,2,0
41859444,1,1,0,0
87150307,1,0,1,0
16207242,1,1,0,0
71110500,3,0,3,0
15538259,2,1,0,1
19061220,1,1,0,0
2024948,3,3,0,0
25766824,1,1,0,0
12159102,1,1,0,0
2680706,1,1,0,0
10676734,1,1,0,0
7307125,1,1,0,0
104704194,1,1,0,0
6411133,1,1,0,0
13503254,1,1,0,0
105457042,1,1,0,0
1626178,1,1,0,0
105592042,6,1,5,0
92880710,1,1,0,0
62342195,1,1,0,0
16199167,2,2,0,0
27914570,1,1,0,0
106615219,1,1,0,0
13360566,1,1,0,0
54126082,3,3,0,0
31271409,1,1,0,0
6655288,1,1,0,0
31214578,1,1,0,0
107278901,1,1,0,0
104127819,2,0,2,0
2334362,2,2,0,0
42534044,1,0,1,0
107569275,1,0,1,0
107697689,1,1,0,0
107888317,1,1,0,0
20056719,1,1,0,0
108007021,1,1,0,0
13720227,1,0,1,0
20242496,1,1,0,0
108261325,1,1,0,0
108364436,1,1,0,0
36993961,1,1,0,0
108624574,2,2,0,0
78194147,6,1,5,0
24051505,1,1,0,0
109529688,1,1,0,0
109568164,1,1,0,0
109644708,1,1,0,0
9306094,1,1,0,0
109849144,1,1,0,0
109898126,1,1,0,0
109436016,1,0,1,0
17934570,6,1,5,0
95221142,1,1,0,0
11236131,1,1,0,0
9771947,1,1,0,0
66251356,1,1,0,0
54138089,1,1,0,0
21706236,1,1,0,0
5850,2,2,0,0
111207965,1,0,1,0
46582948,12,12,0,0
6472382,1,0,1,0
53596345,2,2,0,0
111760278,1,1,0,0
14831290,2,1,1,0
639308,1,0,1,0
111914877,1,1,0,0
63273507,3,1,2,0
26206487,1,1,0,0
14290568,1,1,0,0
112575738,1,1,0,0
89707115,2,1,1,0
112895048,1,1,0,0
4642626,3,1,2,0
74673637,1,1,0,0
113917603,1,1,0,0
100589,1,1,0,0
500279,1,1,0,0
2230499,1,1,0,0
13000882,1,1,0,0
73159980,2,0,2,0
24863780,1,1,0,0
26389480,17,0,8,9
87977393,5,5,0,0
8244177,1,1,0,0
487806,37,37,0,0
19800280,1,0,1,0
15333132,1,0,1,0
1436380,1,1,0,0
117540962,1,1,0,0
4714927,3,0,3,0
82332119,1,1,0,0
11626707,1,1,0,0
17219855,4,0,4,0
120146441,1,1,0,0
49670365,2,2,0,0
20409206,1,1,0,0
261256,1,1,0,0
121090333,1,0,1,0
16381569,2,1,1,0
121592889,1,1,0,0
121348070,1,0,1,0
3484793,1,1,0,0
35829739,1,1,0,0
67517380,3,3,0,0
3664276,1,1,0,0
12166019,7,0,7,0
95662000,1,1,0,0
1275143,1,1,0,0
57567321,2,1,1,0
30368752,1,1,0,0
21536334,1,0,1,0
17680985,1,0,1,0
106426179,7,2,5,0
35942863,1,1,0,0
8733319,1,1,0,0
20181195,1,1,0,0
96456433,9,9,0,0
124644014,4,0,4,0
10657365,1,1,0,0
2993827,1,1,0,0
23215539,1,0,1,0
58603528,2,2,0,0
126333441,4,1,3,0
690881,1,1,0,0
18004955,1,1,0,0
111311001,3,3,0,0
583576,2,0,2,0
1507802,3,3,0,0
79036815,1,1,0,0
112764131,1,1,0,0
5656,3,0,3,0
26808180,1,1,0,0
5882490,1,1,0,0
26180779,9,2,7,0
11462042,1,1,0,0
129906859,1,1,0,0
130131975,2,2,0,0
45371351,2,1,1,0
29817021,1,1,0,0
98811823,1,1,0,0
87627920,1,1,0,0
21338184,1,1,0,0
29184455,2,2,0,0
71551950,1,1,0,0
84924342,1,1,0,0
6483445,1,1,0,0
62968823,1,0,1,0
132637888,1,1,0,0
105502689,4,4,0,0
3386804,1,1,0,0
25717028,1,1,0,0
43905291,1,1,0,0
130116131,2,0,2,0
19131071,3,3,0,0
12430705,1,1,0,0
18173651,1,1,0,0
12605921,1,1,0,0
26296287,2,2,0,0
1631901,1,1,0,0
6480831,1,1,0,0
108164897,1,1,0,0
38387831,4,4,0,0
1492347,1,1,0,0
37792202,1,1,0,0
1001532,2,2,0,0
16615356,1,0,1,0
24635920,1,1,0,0
20917831,2,0,2,0
82738448,1,0,1,0
13136803,1,1,0,0
33008208,1,1,0,0
138787488,3,0,3,0
86790623,3,3,0,0
25863369,1,1,0,0
40640586,1,1,0,0
114562882,1,0,1,0
138943278,1,1,0,0
27055889,2,2,0,0
3448315,9,2,7,0
2291656,1,1,0,0
140334352,8,2,5,1
89325275,2,0,2,0
6066744,1,1,0,0
25683126,1,1,0,0
661119,1,1,0,0
51355304,1,1,0,0
17123337,1,1,0,0
24444960,1,1,0,0
144776629,1,1,0,0
176438,2,0,2,0
140579095,1,1,0,0
92210914,1,1,0,0
146624030,15,0,1,11
56754902,1,1,0,0
142993246,2,2,0,0
142299409,1,1,0,0
147252541,2,2,0,0
9265084,1,1,0,0
148703825,1,1,0,0
601702,1,1,0,0
6148916,1,1,0,0
94884587,1,1,0,0
142639760,1,1,0,0
54077384,1,1,0,0
95617504,1,1,0,0
3281515,1,1,0,0
61953100,1,1,0,0
20312243,1,1,0,0
86405650,1,1,0,0
152712129,1,1,0,0
45515061,1,1,0,0
4280278,2,2,0,0
69429712,1,1,0,0
73833123,1,1,0,0
52844473,1,1,0,0
67317030,2,2,0,0
27152040,1,1,0,0
6597874,1,1,0,0
26694024,1,1,0,0
7405667,1,1,0,0
11309130,1,1,0,0
157089151,1,1,0,0
158129211,1,1,0,0
4503953,1,1,0,0
73765439,2,2,0,0
125670628,2,2,0,0
49195938,1,1,0,0
6083109,1,1,0,0
157832931,1,1,0,0
159644445,4,0,4,0
27042315,1,1,0,0
160601943,4,4,0,0
122931819,2,2,0,0
17757296,2,2,0,0
17848261,1,1,0,0
160627439,1,1,0,0
116112352,1,1,0,0
4974030,1,1,0,0
163362419,2,1,1,0
1689867,1,1,0,0
163753719,1,1,0,0
26219810,1,0,1,0
164170573,1,1,0,0
38466365,1,1,0,0
165020675,1,1,0,0
147434844,1,1,0,0
23333270,1,1,0,0
165867129,1,1,0,0
32586644,1,1,0,0
166477115,1,1,0,0
56607502,2,0,2,0
78519257,1,1,0,0
167267878,1,1,0,0
39747152,2,2,0,0
167621187,1,1,0,0
167542927,1,1,0,0
168231720,1,1,0,0
24953267,3,3,0,0
3489498,1,1,0,0
168802442,1,1,0,0
3073728,2,1,1,0
169664944,3,0,3,0
9680354,5,5,0,0
170397638,1,1,0,0
32713202,1,1,0,0
4100648,1,1,0,0
1237439,1,1,0,0
37494995,2,2,0,0
3746732,2,2,0,0
19646676,1,1,0,0
36954714,1,1,0,0
172432100,1,0,1,0
59729779,1,0,1,0
62296794,2,2,0,0
36669572,3,3,0,0
44251938,1,1,0,0
26392545,1,1,0,0
2881676,1,1,0,0
28922618,1,1,0,0
121605308,1,0,1,0
175696585,1,1,0,0
21097703,1,1,0,0
176304871,3,1,2,0
16082647,1,1,0,0
70574319,1,1,0,0
177085783,5,0,5,0
63140065,1,1,0,0
178419661,1,1,0,0
178532898,1,1,0,0
79479469,1,1,0,0
15607339,2,0,2,0
179827733,1,1,0,0
77073200,2,2,0,0
22585815,1,1,0,0
179956839,3,0,3,0
54313635,1,0,1,0
182077229,3,3,0,0
13071021,1,1,0,0
20449943,1,1,0,0
182851117,3,3,0,0
37883365,1,1,0,0
86376750,3,1,2,0
183972502,1,1,0,0
98694394,6,6,0,0
104509918,1,1,0,0
128136372,1,1,0,0
9070652,1,1,0,0
185020877,2,2,0,0
182305052,5,0,5,0
35952857,1,1,0,0
5259313,1,1,0,0
35508656,1,1,0,0
187023239,1,1,0,0
186697530,1,1,0,0
187304607,1,1,0,0
31488625,1,1,0,0
94251412,1,1,0,0
22194235,1,1,0,0
2430045,1,1,0,0
19979392,3,0,3,0
127871545,1,0,1,0
124782850,4,1,3,0
130259254,1,1,0,0
189535978,3,3,0,0
7989061,1,1,0,0
158352584,1,1,0,0
190135215,1,1,0,0
16259214,1,1,0,0
191611525,1,1,0,0
12571117,1,1,0,0
105748910,2,1,1,0
190842767,1,1,0,0
192876941,1,1,0,0
88364420,1,1,0,0
9263895,1,1,0,0
224561145,8,3,5,0
11158634,2,2,0,0
22991901,1,1,0,0
194610108,1,1,0,0
4471145,1,1,0,0
7653159,2,2,0,0
9147142,1,1,0,0
20668969,1,1,0,0
75458574,1,1,0,0
12337660,1,1,0,0
85931792,1,1,0,0
6688891,1,1,0,0
122382567,30,30,0,0
99955771,3,3,0,0
182058146,1,0,1,0
199728235,1,0,1,0
167034668,2,2,0,0
122469617,1,1,0,0
61446090,1,1,0,0
105711806,1,1,0,0
10750206,2,2,0,0
30315692,1,1,0,0
176970521,10,2,7,0
160559267,2,2,0,0
54872941,1,1,0,0
76443009,1,1,0,0
20323095,2,2,0,0
3991758,2,2,0,0
1904712,1,1,0,0
80788728,1,1,0,0
204740295,1,0,1,0
8116415,1,1,0,0
106767299,1,1,0,0
6250693,1,1,0,0
67977573,1,1,0,0
159982035,2,0,2,0
12677243,1,1,0,0
1005751,1,0,1,0
44535307,3,3,0,0
162230628,1,1,0,0
200902664,1,1,0,0
21077344,1,1,0,0
126463962,1,1,0,0
12928262,5,5,0,0
14905129,1,1,0,0
94568899,1,1,0,0
207573176,1,1,0,0
12986558,1,1,0,0
43721722,1,1,0,0
213398164,1,1,0,0
143780236,1,1,0,0
9286163,6,2,4,0
200421571,2,0,2,0
113851583,1,1,0,0
102274654,5,1,4,0
16913670,1,1,0,0
7739180,1,1,0,0
107434423,156,156,0,0
68075987,1,1,0,0
30984226,1,0,1,0
153142984,1,1,0,0
217836431,2,0,2,0
50382469,1,1,0,0
1694546,1,1,0,0
1642853,1,1,0,0
219448248,1,1,0,0
219886117,1,1,0,0
12996810,1,1,0,0
36954423,1,1,0,0
220297433,1,1,0,0
208577817,2,2,0,0
3806067,2,2,0,0
221366791,1,1,0,0
4365896,1,1,0,0
4807337,1,1,0,0
201365580,1,1,0,0
3952319,1,1,0,0
8833997,1,1,0,0
69203193,16,16,0,0
425737,1,1,0,0
1157189,1,1,0,0
4492,1,1,0,0
225095373,3,3,0,0
128066863,1,1,0,0
2453278,1,1,0,0
31647289,1,1,0,0
12287205,1,1,0,0
97534451,2,2,0,0
216497948,1,1,0,0
73190345,1,1,0,0
25314348,1,1,0,0
21570891,14,14,0,0
5115635,2,2,0,0
135373553,1,1,0,0
20285809,1,1,0,0
80330538,1,0,1,0
230413534,1,1,0,0
7181747,1,1,0,0
230569854,2,1,1,0
36982214,1,1,0,0
4474955,2,0,2,0
55835374,1,0,1,0
966723,1,1,0,0
17741442,1,1,0,0
33664909,1,1,0,0
27789799,2,0,2,0
46151252,1,1,0,0
233203296,1,1,0,0
134792083,1,0,1,0
27241272,1,1,0,0
159839010,4,0,4,0
19574474,2,2,0,0
233733884,2,2,0,0
23455172,1,1,0,0
16325168,1,1,0,0
195016684,1,1,0,0
1158402,3,1,2,0
64813126,1,1,0,0
15517555,1,1,0,0
108050042,1,0,1,0
6880365,1,1,0,0
128923810,1,1,0,0
5943445,1,1,0,0
6555931,1,1,0,0
66256547,1,0,1,0
238394816,1,1,0,0
238503631,1,1,0,0
42865328,1,0,1,0
220082929,1,1,0,0
95350797,1,1,0,0
570552730,1,1,0,0
239817994,1,1,0,0
61076428,1,1,0,0
18493253,1,1,0,0
2222558,1,1,0,0
237463,1,1,0,0
62543911,3,0,3,0
241250039,1,0,1,0
73385154,1,1,0,0
247086,1,1,0,0
12003362,1,1,0,0
242984873,1,1,0,0
243204916,1,0,1,0
108080929,2,2,0,0
29407969,1,1,0,0
5297856,1,1,0,0
241508765,2,2,0,0
122447633,1,1,0,0
244371151,1,1,0,0
123268799,3,3,0,0
246291297,1,1,0,0
8440607,1,1,0,0
195467577,1,1,0,0
119476075,1,0,1,0
1922341,3,3,0,0
246859433,1,1,0,0
243171543,1,1,0,0
232895115,2,2,0,0
184467515,1,1,0,0
58390546,1,1,0,0
40490589,1,1,0,0
19829396,2,2,0,0
13632628,1,1,0,0
105811458,1,1,0,0
251823932,1,1,0,0
251867718,2,0,2,0
135195550,3,0,3,0
11358775,1,1,0,0
64224836,1,1,0,0
129443521,1,1,0,0
5467394,1,1,0,0
36486329,1,1,0,0
253181788,1,1,0,0
255873015,1,1,0,0
255486813,1,1,0,0
3609290,1,1,0,0
4584982,1,1,0,0
46698505,1,1,0,0
95344867,1,1,0,0
78577135,3,0,3,0
258648184,1,1,0,0
6970679,1,1,0,0
141298284,4,0,4,0
6095670,1,1,0,0
16676147,1,1,0,0
218678320,1,0,1,0
35990837,2,2,0,0
261002058,1,1,0,0
117707156,2,0,2,0
42942998,1,1,0,0
105396940,1,0,1,0
7757638,1,1,0,0
56749290,1,1,0,0
68815525,1,1,0,0
110083911,1,0,1,0
8003285,1,1,0,0
5509070,2,0,2,0
265391427,6,6,0,0
45457556,1,1,0,0
147044280,1,0,1,0
56247828,1,1,0,0
266037254,2,2,0,0
59592308,1,1,0,0
31987180,1,1,0,0
129165980,1,1,0,0
164658070,1,1,0,0
56599514,3,3,0,0
268123553,1,1,0,0
109541227,1,1,0,0
269834634,11,11,0,0
104694577,2,2,0,0
271120083,1,1,0,0
126975069,6,4,2,0
1265752,1,1,0,0
272882211,1,1,0,0
447235921,1,1,0,0
63922350,1,1,0,0
57938914,1,1,0,0
14003321,1,1,0,0
71406059,1,1,0,0
3291650,1,0,1,0
192319570,1,1,0,0
209748244,1,1,0,0
276412829,1,1,0,0
29980292,1,1,0,0
13604352,1,1,0,0
93362692,1,1,0,0
2960725,1,1,0,0
134672049,1,1,0,0
279777862,1,0,1,0
273858247,1,1,0,0
43944969,1,1,0,0
14898825,1,1,0,0
28613623,1,1,0,0
280731063,4,2,2,0
53222831,1,1,0,0
220632646,1,1,0,0
24936720,1,1,0,0
25854085,1,1,0,0
109188175,1,1,0,0
156375393,1,1,0,0
8500709,1,1,0,0
19347820,1,1,0,0
24087388,1,1,0,0
286089018,1,1,0,0
286638108,1,1,0,0
6509683,1,1,0,0
281813382,1,1,0,0
37046633,3,3,0,0
1311994,1,1,0,0
289695321,1,1,0,0
5798600,2,2,0,0
104560694,2,2,0,0
13351297,1,1,0,0
119046186,1,1,0,0
289259344,19,19,0,0
15103467,1,1,0,0
293372071,2,2,0,0
294272884,1,1,0,0
3367231,2,2,0,0
98438550,1,0,1,0
92306056,1,1,0,0
5956393,1,1,0,0
294411073,1,1,0,0
294545484,104,0,104,0
2795746,1,1,0,0
298618235,1,1,0,0
299020926,1,0,1,0
293222,1,1,0,0
141904488,1,1,0,0
288033145,9,0,0,9
18894668,1,1,0,0
20627253,3,3,0,0
5871111,1,1,0,0
302908431,1,1,0,0
304261532,7,7,0,0
303101466,3,0,3,0
306013328,1,1,0,0
306131660,1,1,0,0
306512018,1,0,1,0
60085780,2,2,0,0
69033883,2,0,2,0
92444608,1,1,0,0
130517319,1,1,0,0
33063976,1,0,1,0
309954138,1,1,0,0
119489123,1,1,0,0
117435224,1,1,0,0
310326096,1,1,0,0
2880559,2,2,0,0
205497174,1,1,0,0
6355123,1,1,0,0
312608571,3,0,3,0
70072639,1,1,0,0
313872722,4,1,3,0
130589043,1,0,1,0
234050569,2,2,0,0
8755994,1,1,0,0
161649426,3,1,2,0
83278191,1,1,0,0
27980626,1,0,1,0
122503294,1,1,0,0
139859248,1,1,0,0
28313647,1,0,1,0
7279350,1,1,0,0
318753695,1,1,0,0
33873876,1,1,0,0
71508455,8,0,0,8
43617494,1,1,0,0
177481753,2,2,0,0
81742926,1,1,0,0
322298965,4,1,3,0
48322327,3,1,2,0
9647199,1,0,1,0
323951788,1,1,0,0
180214777,1,1,0,0
19174246,1,1,0,0
1415268,1,1,0,0
84513560,1,1,0,0
1402804,2,0,2,0
16509981,1,1,0,0
14202487,1,1,0,0
63400986,1,1,0,0
37719229,1,1,0,0
118244024,1,1,0,0
125128760,1,1,0,0
158159778,2,2,0,0
35590783,1,0,1,0
103857108,1,0,1,0
48088325,1,0,1,0
26130266,1,1,0,0
4159134,2,2,0,0
34372300,1,1,0,0
8760797,1,1,0,0
9683119,2,2,0,0
83641547,1,1,0,0
333566085,1,1,0,0
77741012,1,1,0,0
60099307,1,1,0,0
227194376,15,15,0,0
335606894,1,1,0,0
84747357,1,1,0,0
336446574,1,1,0,0
25861453,1,1,0,0
85895899,1,1,0,0
71455448,2,2,0,0
51727942,1,1,0,0
217039487,1,1,0,0
16840318,1,1,0,0
25126534,3,3,0,0
95748990,2,2,0,0
38557368,1,1,0,0
969238,1,1,0,0
10158167,1,1,0,0
265853584,1,1,0,0
300968567,1,1,0,0
151460226,1,1,0,0
64796239,1,1,0,0
24022538,1,1,0,0
13165562,1,1,0,0
28968825,1,1,0,0
156491119,1,1,0,0
12541419,1,0,1,0
339505596,1,1,0,0
66832336,1,1,0,0
11015446,1,1,0,0
345980734,1,1,0,0
346644486,2,2,0,0
346713306,1,1,0,0
75487604,1,1,0,0
80553903,2,2,0,0
348591875,1,1,0,0
17115030,1,1,0,0
349110258,1,1,0,0
17970511,1,1,0,0
951119,1,1,0,0
22735045,1,1,0,0
183975299,1,1,0,0
6320930,1,1,0,0
6762981,1,1,0,0
28998266,1,1,0,0
266565827,1,0,1,0
40622360,3,0,3,0
1219601,1,1,0,0
119715979,1,1,0,0
4431837,1,1,0,0
67772223,1,0,1,0
73794838,1,0,1,0
127034950,4,4,0,0
4691074,2,2,0,0
270957643,1,1,0,0
142483193,1,1,0,0
2401817,1,0,1,0
360585434,1,1,0,0
22088881,1,1,0,0
14359760,1,1,0,0
1644999,1,1,0,0
452114819,2,2,0,0
4999841,1,1,0,0
292538124,3,2,1,0
203125886,1,1,0,0
33378245,2,2,0,0
172416408,1,1,0,0
364922886,1,1,0,0
